"From"	"to"
"1+"	"37+"
"1-"	"85+"
"2+"	"55-"
"2-"	"76+"
"3-"	"97-"
"3+"	"99-"
"4-"	"77+"
"4+"	"107+"
"5-"	"104+"
"5+"	"105-"
"6-"	"90-"
"6+"	"97-"
"7-"	"42-"
"7+"	"84-"
"8+"	"60-"
"8-"	"107+"
"9-"	"55+"
"9+"	"106-"
"10+"	"86-"
"11-"	"55+"
"11+"	"55-"
"12+"	"48+"
"12-"	"65+"
"13-"	"89+"
"13+"	"91-"
"14+"	"80-"
"14-"	"104+"
"15-"	"65+"
"15+"	"100+"
"16-"	"72+"
"16-"	"78+"
"16+"	"81+"
"17-"	"46+"
"17+"	"99-"
"18-"	"45+"
"18+"	"108-"
"19-"	"47+"
"19+"	"98-"
"20-"	"50-"
"20+"	"84-"
"21-"	"45+"
"21+"	"60-"
"22-"	"77+"
"22+"	"108-"
"23-"	"62+"
"23+"	"69+"
"24-"	"82-"
"24+"	"109+"
"25+"	"46+"
"25-"	"47+"
"26-"	"54+"
"27-"	"35+"
"27+"	"60+"
"28+"	"92-"
"28-"	"102+"
"29-"	"41+"
"29+"	"109+"
"30-"	"41+"
"30+"	"60+"
"31+"	"92+"
"31-"	"101-"
"32-"	"95-"
"32+"	"106-"
"33-"	"44+"
"33+"	"108-"
"34+"	"46-"
"34-"	"98-"
"35-"	"27+"
"35+"	"66-"
"35+"	"71-"
"35-"	"90+"
"36+"	"46-"
"36-"	"48-"
"37-"	"1-"
"37+"	"43-"
"37+"	"53-"
"37-"	"63-"
"38+"	"76+"
"38-"	"102+"
"39-"	"44-"
"39+"	"83-"
"40-"	"92+"
"40+"	"93+"
"41-"	"29+"
"41-"	"30+"
"41+"	"73-"
"41+"	"74+"
"42+"	"7+"
"42-"	"66+"
"42-"	"71+"
"42+"	"85-"
"43+"	"37-"
"43-"	"95+"
"44-"	"33+"
"44+"	"39+"
"44+"	"51+"
"44-"	"58+"
"45-"	"18+"
"45-"	"21+"
"45+"	"52-"
"45+"	"75+"
"46-"	"17+"
"46-"	"25-"
"46+"	"34-"
"46+"	"36-"
"47-"	"19+"
"47-"	"25+"
"47-"	"52+"
"47+"	"73+"
"47+"	"105+"
"48-"	"12-"
"48+"	"36+"
"48-"	"86+"
"48+"	"97+"
"49+"	"100+"
"49-"	"101-"
"50+"	"20+"
"50-"	"59+"
"50-"	"61+"
"50+"	"94-"
"51-"	"44-"
"51+"	"105-"
"52+"	"45-"
"52-"	"47+"
"53+"	"37-"
"53-"	"64-"
"54-"	"26+"
"54-"	"57+"
"54+"	"103-"
"55+"	"2-"
"55-"	"9+"
"55-"	"11+"
"55+"	"11-"
"56-"	"81+"
"56+"	"81-"
"57-"	"54+"
"57+"	"81-"
"58-"	"44+"
"58+"	"62-"
"59-"	"50+"
"59+"	"93-"
"60+"	"8-"
"60+"	"21-"
"60-"	"27-"
"60-"	"30-"
"61-"	"50+"
"61+"	"93-"
"62-"	"23+"
"62+"	"58-"
"62+"	"69-"
"62-"	"79+"
"63+"	"37+"
"63-"	"64-"
"64+"	"53+"
"64+"	"63+"
"64-"	"95+"
"65-"	"12+"
"65-"	"15+"
"65+"	"89+"
"66+"	"35-"
"66-"	"42+"
"67-"	"78-"
"67+"	"88+"
"67-"	"96+"
"68+"	"79-"
"68-"	"92-"
"69-"	"23-"
"69+"	"62-"
"69-"	"82+"
"70+"	"72-"
"70+"	"87+"
"70-"	"88+"
"71+"	"35-"
"71-"	"42+"
"72-"	"16+"
"72+"	"70-"
"73+"	"41-"
"73-"	"47-"
"74-"	"41-"
"74+"	"106-"
"75-"	"45-"
"75+"	"76+"
"76-"	"2+"
"76-"	"38-"
"76-"	"75-"
"76+"	"93+"
"76-"	"106+"
"77-"	"4+"
"77-"	"22+"
"77+"	"103-"
"78-"	"16+"
"78+"	"67+"
"79-"	"62+"
"79+"	"68-"
"79+"	"83+"
"80+"	"14-"
"80-"	"85+"
"80+"	"89-"
"81-"	"16-"
"81+"	"56-"
"81-"	"56+"
"81+"	"57-"
"82+"	"24+"
"82-"	"69+"
"82+"	"102-"
"83+"	"39-"
"83-"	"79-"
"83+"	"109-"
"84+"	"7-"
"84+"	"20-"
"84-"	"95-"
"85-"	"1+"
"85+"	"42-"
"85-"	"80+"
"86+"	"10-"
"86-"	"48+"
"86+"	"107-"
"87-"	"70-"
"87+"	"91-"
"88-"	"67-"
"88-"	"70+"
"88+"	"91+"
"88+"	"96-"
