"Node"	"Coverage"
"1+"	"1.08865"
"1-"	"1.08865"
"10+"	"1.14755"
"10-"	"1.14755"
"100+"	"0.55936"
"100-"	"0.55936"
"101+"	"2.18875"
"101-"	"2.18875"
"102+"	"6.30664"
"102-"	"6.30664"
"103+"	"1.5152"
"103-"	"1.5152"
"104+"	"13.0797"
"104-"	"13.0797"
"105+"	"1.44403"
"105-"	"1.44403"
"106+"	"2.35692"
"106-"	"2.35692"
"107+"	"13.6125"
"107-"	"13.6125"
"108+"	"1.92482"
"108-"	"1.92482"
"109+"	"1.08444"
"109-"	"1.08444"
"11+"	"0.859975"
"11-"	"0.859975"
"110+"	"4.21851"
"110-"	"4.21851"
"111+"	"8.21965"
"111-"	"8.21965"
"112+"	"16.5349"
"112-"	"16.5349"
"113+"	"0.947379"
"113-"	"0.947379"
"114+"	"3.35989"
"114-"	"3.35989"
"115+"	"1.11858"
"115-"	"1.11858"
"116+"	"14.9978"
"116-"	"14.9978"
"117+"	"1.27899"
"117-"	"1.27899"
"118+"	"0.354213"
"118-"	"0.354213"
"119+"	"6.44819"
"119-"	"6.44819"
"12+"	"1.1409"
"12-"	"1.1409"
"120+"	"1.46892"
"120-"	"1.46892"
"121+"	"3.13895"
"121-"	"3.13895"
"122+"	"2.42173"
"122-"	"2.42173"
"123+"	"0.776027"
"123-"	"0.776027"
"124+"	"2.24452"
"124-"	"2.24452"
"125+"	"3.37225"
"125-"	"3.37225"
"126+"	"2.40379"
"126-"	"2.40379"
"127+"	"9.52483"
"127-"	"9.52483"
"128+"	"2.053"
"128-"	"2.053"
"129+"	"3.17076"
"129-"	"3.17076"
"13+"	"0.984103"
"13-"	"0.984103"
"130+"	"3.08512"
"130-"	"3.08512"
"131+"	"0.447779"
"131-"	"0.447779"
"132+"	"1.40751"
"132-"	"1.40751"
"133+"	"2.85323"
"133-"	"2.85323"
"134+"	"2.03761"
"134-"	"2.03761"
"135+"	"1.90021"
"135-"	"1.90021"
"136+"	"2.33677"
"136-"	"2.33677"
"137+"	"1.73844"
"137-"	"1.73844"
"138+"	"0.951226"
"138-"	"0.951226"
"139+"	"10.8777"
"139-"	"10.8777"
"14+"	"0.952606"
"14-"	"0.952606"
"140+"	"5.43752"
"140-"	"5.43752"
"141+"	"1.00492"
"141-"	"1.00492"
"142+"	"2.15162"
"142-"	"2.15162"
"143+"	"2.82985"
"143-"	"2.82985"
"144+"	"8.71622"
"144-"	"8.71622"
"145+"	"1.94539"
"145-"	"1.94539"
"146+"	"2.07561"
"146-"	"2.07561"
"147+"	"1.06541"
"147-"	"1.06541"
"148+"	"3.69183"
"148-"	"3.69183"
"149+"	"2.22178"
"149-"	"2.22178"
"15+"	"0.973596"
"15-"	"0.973596"
"150+"	"1.92944"
"150-"	"1.92944"
"151+"	"2.10484"
"151-"	"2.10484"
"152+"	"4.03429"
"152-"	"4.03429"
"153+"	"1.28629"
"153-"	"1.28629"
"154+"	"9.03329"
"154-"	"9.03329"
"155+"	"2.86493"
"155-"	"2.86493"
"156+"	"4.53126"
"156-"	"4.53126"
"157+"	"1.75404"
"157-"	"1.75404"
"158+"	"8.59478"
"158-"	"8.59478"
"159+"	"1.5494"
"159-"	"1.5494"
"16+"	"0.937702"
"16-"	"0.937702"
"160+"	"1.40323"
"160-"	"1.40323"
"161+"	"2.86493"
"161-"	"2.86493"
"162+"	"5.49598"
"162-"	"5.49598"
"163+"	"3.0988"
"163-"	"3.0988"
"164+"	"4.09275"
"164-"	"4.09275"
"165+"	"1.4617"
"165-"	"1.4617"
"166+"	"3.56654"
"166-"	"3.56654"
"167+"	"3.62501"
"167-"	"3.62501"
"168+"	"4.20969"
"168-"	"4.20969"
"169+"	"3.62501"
"169-"	"3.62501"
"17+"	"0.852661"
"17-"	"0.852661"
"170+"	"2.51412"
"170-"	"2.51412"
"171+"	"4.26816"
"171-"	"4.26816"
"172+"	"2.16331"
"172-"	"2.16331"
"173+"	"1.75404"
"173-"	"1.75404"
"174+"	"7.89317"
"174-"	"7.89317"
"175+"	"3.2742"
"175-"	"3.2742"
"176+"	"2.16331"
"176-"	"2.16331"
"177+"	"5.78832"
"177-"	"5.78832"
"178+"	"3.33267"
"178-"	"3.33267"
"179+"	"1.34476"
"179-"	"1.34476"
"18+"	"1.04102"
"18-"	"1.04102"
"180+"	"2.63106"
"180-"	"2.63106"
"181+"	"2.74799"
"181-"	"2.74799"
"182+"	"1.40323"
"182-"	"1.40323"
"183+"	"4.79437"
"183-"	"4.79437"
"184+"	"3.33267"
"184-"	"3.33267"
"185+"	"6.25607"
"185-"	"6.25607"
"186+"	"2.9234"
"186-"	"2.9234"
"187+"	"3.44961"
"187-"	"3.44961"
"188+"	"2.28025"
"188-"	"2.28025"
"189+"	"5.14518"
"189-"	"5.14518"
"19+"	"1.09324"
"19-"	"1.09324"
"190+"	"2.45565"
"190-"	"2.45565"
"191+"	"1.34476"
"191-"	"1.34476"
"192+"	"3.91735"
"192-"	"3.91735"
"193+"	"4.09275"
"193-"	"4.09275"
"194+"	"1.75404"
"194-"	"1.75404"
"195+"	"2.9234"
"195-"	"2.9234"
"196+"	"2.10484"
"196-"	"2.10484"
"197+"	"2.86493"
"197-"	"2.86493"
"198+"	"1.98791"
"198-"	"1.98791"
"199+"	"2.63106"
"199-"	"2.63106"
"2+"	"1.04265"
"2-"	"1.04265"
"20+"	"1.0403"
"20-"	"1.0403"
"200+"	"2.93161"
"200-"	"2.93161"
"21+"	"0.999503"
"21-"	"0.999503"
"22+"	"0.809862"
"22-"	"0.809862"
"23+"	"0.825006"
"23-"	"0.825006"
"24+"	"0.883725"
"24-"	"0.883725"
"25+"	"0.926465"
"25-"	"0.926465"
"26+"	"1.02057"
"26-"	"1.02057"
"27+"	"1.01148"
"27-"	"1.01148"
"28+"	"0.839453"
"28-"	"0.839453"
"29+"	"0.965112"
"29-"	"0.965112"
"3+"	"1.0814"
"3-"	"1.0814"
"30+"	"0.848685"
"30-"	"0.848685"
"31+"	"3.14249"
"31-"	"3.14249"
"32+"	"0.958856"
"32-"	"0.958856"
"33+"	"0.983571"
"33-"	"0.983571"
"34+"	"0.985833"
"34-"	"0.985833"
"35+"	"1.01366"
"35-"	"1.01366"
"36+"	"0.91649"
"36-"	"0.91649"
"37+"	"0.835746"
"37-"	"0.835746"
"38+"	"0.966837"
"38-"	"0.966837"
"39+"	"1.0769"
"39-"	"1.0769"
"4+"	"1"
"4-"	"1"
"40+"	"0.886789"
"40-"	"0.886789"
"41+"	"0.998597"
"41-"	"0.998597"
"42+"	"1.05934"
"42-"	"1.05934"
"43+"	"0.79849"
"43-"	"0.79849"
"44+"	"0.802519"
"44-"	"0.802519"
"45+"	"1.35951"
"45-"	"1.35951"
"46+"	"1.16149"
"46-"	"1.16149"
"47+"	"3.35845"
"47-"	"3.35845"
"48+"	"0.828812"
"48-"	"0.828812"
"49+"	"0.916847"
"49-"	"0.916847"
"5+"	"1.10643"
"5-"	"1.10643"
"50+"	"0.995644"
"50-"	"0.995644"
"51+"	"0.836921"
"51-"	"0.836921"
"52+"	"3.22204"
"52-"	"3.22204"
"53+"	"1.31293"
"53-"	"1.31293"
"54+"	"1.12861"
"54-"	"1.12861"
"55+"	"2.78727"
"55-"	"2.78727"
"56+"	"1.07943"
"56-"	"1.07943"
"57+"	"1.18317"
"57-"	"1.18317"
"58+"	"8.37968"
"58-"	"8.37968"
"59+"	"1.39742"
"59-"	"1.39742"
"6+"	"0.89246"
"6-"	"0.89246"
"60+"	"1.0229"
"60-"	"1.0229"
"61+"	"2.82387"
"61-"	"2.82387"
"62+"	"1.12005"
"62-"	"1.12005"
"63+"	"2.62055"
"63-"	"2.62055"
"64+"	"1.05231"
"64-"	"1.05231"
"65+"	"1.00165"
"65-"	"1.00165"
"66+"	"0.979051"
"66-"	"0.979051"
"67+"	"2.37709"
"67-"	"2.37709"
"68+"	"7.79395"
"68-"	"7.79395"
"69+"	"2.51208"
"69-"	"2.51208"
"7+"	"1.03541"
"7-"	"1.03541"
"70+"	"1.11804"
"70-"	"1.11804"
"71+"	"1.07175"
"71-"	"1.07175"
"72+"	"10.4041"
"72-"	"10.4041"
"73+"	"2.94975"
"73-"	"2.94975"
"74+"	"7.37403"
"74-"	"7.37403"
"75+"	"1.24085"
"75-"	"1.24085"
"76+"	"0.877141"
"76-"	"0.877141"
"77+"	"2.84482"
"77-"	"2.84482"
"78+"	"1.73525"
"78-"	"1.73525"
"79+"	"1.19207"
"79-"	"1.19207"
"8+"	"0.858005"
"8-"	"0.858005"
"80+"	"6.22151"
"80-"	"6.22151"
"81+"	"1.19296"
"81-"	"1.19296"
"82+"	"12.1592"
"82-"	"12.1592"
"83+"	"9.04002"
"83-"	"9.04002"
"84+"	"1.93954"
"84-"	"1.93954"
"85+"	"2.50578"
"85-"	"2.50578"
"86+"	"12.5898"
"86-"	"12.5898"
"87+"	"1.29971"
"87-"	"1.29971"
"88+"	"3.63342"
"88-"	"3.63342"
"89+"	"1.20822"
"89-"	"1.20822"
"9+"	"0.826239"
"9-"	"0.826239"
"90+"	"6.62418"
"90-"	"6.62418"
"91+"	"2.05377"
"91-"	"2.05377"
"92+"	"11.3697"
"92-"	"11.3697"
"93+"	"7.78021"
"93-"	"7.78021"
"94+"	"0.59097"
"94-"	"0.59097"
"95+"	"1.13024"
"95-"	"1.13024"
"96+"	"0.507598"
"96-"	"0.507598"
"97+"	"0.771776"
"97-"	"0.771776"
"98+"	"0.951109"
"98-"	"0.951109"
"99+"	"0.727686"
"99-"	"0.727686"
