"Node"	"Coverage"
"1+"	"171766"
"1-"	"171766"
"10+"	"86357"
"10-"	"86357"
"100+"	"345"
"100-"	"345"
"101+"	"344"
"101-"	"344"
"102+"	"336"
"102-"	"336"
"103+"	"321"
"103-"	"321"
"104+"	"319"
"104-"	"319"
"105+"	"303"
"105-"	"303"
"106+"	"272"
"106-"	"272"
"107+"	"260"
"107-"	"260"
"108+"	"260"
"108-"	"260"
"109+"	"247"
"109-"	"247"
"11+"	"82621"
"11-"	"82621"
"110+"	"247"
"110-"	"247"
"111+"	"246"
"111-"	"246"
"112+"	"243"
"112-"	"243"
"113+"	"239"
"113-"	"239"
"114+"	"237"
"114-"	"237"
"115+"	"235"
"115-"	"235"
"116+"	"234"
"116-"	"234"
"117+"	"225"
"117-"	"225"
"118+"	"224"
"118-"	"224"
"119+"	"212"
"119-"	"212"
"12+"	"75552"
"12-"	"75552"
"120+"	"210"
"120-"	"210"
"121+"	"204"
"121-"	"204"
"122+"	"202"
"122-"	"202"
"123+"	"198"
"123-"	"198"
"124+"	"193"
"124-"	"193"
"125+"	"186"
"125-"	"186"
"126+"	"183"
"126-"	"183"
"127+"	"175"
"127-"	"175"
"128+"	"174"
"128-"	"174"
"129+"	"173"
"129-"	"173"
"13+"	"66412"
"13-"	"66412"
"130+"	"168"
"130-"	"168"
"131+"	"162"
"131-"	"162"
"132+"	"162"
"132-"	"162"
"133+"	"161"
"133-"	"161"
"134+"	"161"
"134-"	"161"
"135+"	"159"
"135-"	"159"
"136+"	"151"
"136-"	"151"
"137+"	"151"
"137-"	"151"
"138+"	"147"
"138-"	"147"
"139+"	"143"
"139-"	"143"
"14+"	"60870"
"14-"	"60870"
"140+"	"138"
"140-"	"138"
"141+"	"137"
"141-"	"137"
"142+"	"136"
"142-"	"136"
"143+"	"136"
"143-"	"136"
"144+"	"134"
"144-"	"134"
"145+"	"132"
"145-"	"132"
"146+"	"131"
"146-"	"131"
"147+"	"130"
"147-"	"130"
"148+"	"128"
"148-"	"128"
"149+"	"124"
"149-"	"124"
"15+"	"54914"
"15-"	"54914"
"150+"	"124"
"150-"	"124"
"151+"	"123"
"151-"	"123"
"152+"	"123"
"152-"	"123"
"153+"	"123"
"153-"	"123"
"154+"	"123"
"154-"	"123"
"155+"	"123"
"155-"	"123"
"156+"	"123"
"156-"	"123"
